t,robot1_x,robot1_y,robot2_x,robot2_y,distance,distance_minus_d_safe
1783864749.7604187,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864749.7624903,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864749.7625163,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864749.762523,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864749.7625287,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.3828454,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.3829725,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.3880973,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.3910568,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.4007323,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.4028766,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.4046404,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.406112,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.406149,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.407591,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.4087737,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.9152896,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.9163296,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.916446,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.9169717,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.9229476,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783864750.9230046,1.000149017540519,-0.6998510122600092,1.0,0.7,1.3998510201916488,0.7498510201916487
1783864750.9251173,1.000149017540519,-0.6998510122600092,1.0,0.7,1.3998510201916488,0.7498510201916487
1783864750.925788,1.000149017540519,-0.6998510122600092,1.0,0.7,1.3998510201916488,0.7498510201916487
1783864750.9274948,1.000149017540519,-0.6998510122600092,1.0,0.7,1.3998510201916488,0.7498510201916487
1783864750.9275804,1.000149017540519,-0.6998510122600092,1.0,0.7,1.3998510201916488,0.7498510201916487
1783864750.9293447,1.000149017540519,-0.6998510122600092,1.0,0.7,1.3998510201916488,0.7498510201916487
1783864751.4126709,1.000149017540519,-0.6998510122600092,1.0,0.7,1.3998510201916488,0.7498510201916487
1783864751.4127564,1.000149017540519,-0.6998510122600092,1.0,0.7,1.3998510201916488,0.7498510201916487
1783864751.4139383,1.000149017540519,-0.6998510122600092,1.0,0.7,1.3998510201916488,0.7498510201916487
1783864751.4156058,1.000149017540519,-0.6998510122600092,1.0,0.7,1.3998510201916488,0.7498510201916487
1783864751.4183116,1.0005990769788053,-0.6994012528413294,1.0,0.7,1.3994013810723172,0.7494013810723171
1783864751.4192033,1.0005990769788053,-0.6994012528413294,1.0,0.7,1.3994013810723172,0.7494013810723171
1783864751.419744,1.0005990769788053,-0.6994012528413294,1.0,0.7,1.3994013810723172,0.7494013810723171
1783864751.420485,1.0005990769788053,-0.6994012528413294,1.0,0.7,1.3994013810723172,0.7494013810723171
1783864751.4205313,1.0005990769788053,-0.6994012528413294,1.0,0.7,1.3994013810723172,0.7494013810723171
1783864751.4216313,1.0005990769788053,-0.6994012528413294,1.0,0.7,1.3994013810723172,0.7494013810723171
1783864751.4216595,1.0005990769788053,-0.6994012528413294,1.0,0.7,1.3994013810723172,0.7494013810723171
1783864751.8846178,1.0005990769788053,-0.6994012528413294,1.0,0.7,1.3994013810723172,0.7494013810723171
1783864751.8879135,1.0005990769788053,-0.6994012528413294,1.0,0.7,1.3994013810723172,0.7494013810723171
