robot,t,center_distance,inflated_clearance,active_flag
robot1,1783864749.7625287,0.36999999999999994,0.11999999999999994,1.0
robot1,1783864750.406149,0.36999999999999994,0.11999999999999994,1.0
robot1,1783864750.925788,0.3698510422805117,0.11985104228051169,1.0
robot1,1783864751.420485,0.36940173861795816,0.11940173861795816,1.0
robot1,1783864751.8907037,0.36940173861795816,0.11940173861795816,1.0
robot1,1783864752.3833911,0.3690548074529432,0.11905480745294322,1.0
robot1,1783864752.9254467,0.3623973948539573,0.11239739485395728,1.0
robot1,1783864753.5405345,0.3570818448560821,0.10708184485608208,1.0
robot1,1783864754.0389311,0.3570818448560821,0.10708184485608208,1.0
robot1,1783864754.5332243,0.3570818448560821,0.10708184485608208,1.0
robot1,1783864755.0294383,0.3570818448560821,0.10708184485608208,1.0
robot1,1783864755.53231,0.35428744551805247,0.10428744551805247,1.0
robot1,1783864756.0281904,0.3506699289264679,0.10066992892646792,1.0
robot1,1783864756.5426464,0.3526010926376058,0.1026010926376058,1.0
robot1,1783864757.0366573,0.35704724872887095,0.10704724872887095,1.0
robot1,1783864757.5086772,0.36308372092812685,0.11308372092812685,1.0
robot1,1783864758.022665,0.3755409754129019,0.12554097541290188,1.0
robot1,1783864758.5106525,0.3959244351210053,0.14592443512100528,1.0
robot1,1783864759.0095768,0.413431783628394,0.163431783628394,0.0
robot1,1783864759.5156069,0.4269125267185874,0.17691252671858743,0.0
robot1,1783864760.1194313,0.4434264329176877,0.19342643291768769,0.0
robot1,1783864760.612584,0.45157132413396023,0.20157132413396023,0.0
robot1,1783864761.1056826,0.45157132413396023,0.20157132413396023,0.0
robot1,1783864761.5821464,0.4531929340697201,0.2031929340697201,0.0
robot1,1783864762.0771825,0.46437502783973217,0.21437502783973217,0.0
robot1,1783864762.6040764,0.47839544180556065,0.22839544180556065,0.0
robot1,1783864763.0722919,0.48980305724745826,0.23980305724745826,0.0
robot1,1783864763.5715055,0.5011354960022932,0.25113549600229323,0.0
robot1,1783864764.08523,0.501629169548136,0.25162916954813597,0.0
robot1,1783864764.5966847,0.5016500015236476,0.2516500015236476,0.0
robot1,1783864765.1065655,0.5036124487150636,0.2536124487150636,0.0
robot1,1783864765.6022174,0.5036124487150636,0.2536124487150636,0.0
