t,robot1_x,robot1_y,robot2_x,robot2_y,distance,distance_minus_d_safe
1783819663.1014543,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.101734,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.1039872,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.1039965,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.1039994,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.1040013,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.4245477,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.42607,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.4260983,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.4261003,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.426102,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.4261115,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.4261146,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.4261165,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.4261184,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.4261215,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.4261234,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.5221567,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.522425,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.5226345,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.5234723,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.5235841,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.5237913,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.5241115,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.5244873,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.5246487,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.524811,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.5251708,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.6373956,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.6378584,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.638043,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.6381252,1.0,-0.7,1.0,0.7,1.4,0.7499999999999999
1783819663.6990907,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.7000341,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.7000473,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.700049,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.7000515,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.7000537,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.7000554,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.850492,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.8509884,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.8510818,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.8512824,1.005595802795816,-0.700093965492415,1.0,0.7,1.4001051479146862,0.7501051479146862
1783819663.8989823,1.0095959201905844,-0.7002764742998363,1.0,0.7,1.400309353736482,0.7503093537364819
1783819663.900048,1.0095959201905844,-0.7002764742998363,1.0,0.7,1.400309353736482,0.7503093537364819
1783819663.9000769,1.0095959201905844,-0.7002764742998363,1.0,0.7,1.400309353736482,0.7503093537364819
1783819663.900079,1.0095959201905844,-0.7002764742998363,1.0,0.7,1.400309353736482,0.7503093537364819
1783819663.900081,1.0095959201905844,-0.7002764742998363,1.0,0.7,1.400309353736482,0.7503093537364819
1783819663.9000835,1.0095959201905844,-0.7002764742998363,1.0,0.7,1.400309353736482,0.7503093537364819
1783819663.9000854,1.0095959201905844,-0.7002764742998363,1.0,0.7,1.400309353736482,0.7503093537364819
1783819664.0011754,1.0095959201905844,-0.7002764742998363,1.0,0.7,1.400309353736482,0.7503093537364819
1783819664.0021884,1.0095959201905844,-0.7002764742998363,1.0,0.7,1.400309353736482,0.7503093537364819
