robot,t,center_distance,inflated_clearance,active_flag
robot1,1783819663.1039872,0.36999999999999994,0.11999999999999994,1.0
robot1,1783819663.42607,0.36999999999999994,0.11999999999999994,1.0
robot1,1783819663.5244873,0.36999999999999994,0.11999999999999994,1.0
robot1,1783819663.7000341,0.3701362672082142,0.12013626720821419,1.0
robot1,1783819663.900048,0.3704007952262271,0.1204007952262271,1.0
robot1,1783819664.1003985,0.37080329240441057,0.12080329240441057,1.0
robot1,1783819664.3005147,0.3713449422880158,0.12134494228801579,1.0
robot1,1783819664.5001438,0.37202219039305723,0.12202219039305723,1.0
robot1,1783819664.7001705,0.37283540064180865,0.12283540064180865,1.0
robot1,1783819664.9019165,0.373784166960591,0.12378416696059102,1.0
robot1,1783819665.1017082,0.37486408168165797,0.12486408168165797,1.0
robot1,1783819665.299756,0.37607612359248804,0.12607612359248804,1.0
robot1,1783819665.501327,0.37741755090705087,0.12741755090705087,1.0
robot1,1783819665.6996584,0.378885937066107,0.12888593706610701,1.0
robot1,1783819665.8996289,0.38048041378605446,0.13048041378605446,1.0
robot1,1783819666.0992653,0.38219400527239084,0.13219400527239084,1.0
robot1,1783819666.2999387,0.38402920515616434,0.13402920515616434,1.0
robot1,1783819666.4994903,0.38597882670974454,0.13597882670974454,1.0
robot1,1783819666.6997845,0.3880467787193798,0.13804677871937981,1.0
robot1,1783819666.8994362,0.39022236883341216,0.14022236883341216,1.0
robot1,1783819667.0994651,0.3925095464486038,0.1425095464486038,1.0
robot1,1783819667.3002472,0.39490694971991624,0.14490694971991624,1.0
robot1,1783819667.4993343,0.3973840511724248,0.1473840511724248,1.0
robot1,1783819667.6990786,0.3999772231859319,0.14997722318593187,1.0
robot1,1783819667.8995059,0.40266076699760395,0.15266076699760395,0.0
robot1,1783819668.100078,0.40543165256862995,0.15543165256862995,0.0
robot1,1783819668.2989783,0.4082992898376362,0.1582992898376362,0.0
robot1,1783819668.4998186,0.4112459283430221,0.1612459283430221,0.0
robot1,1783819668.7006721,0.4142758588536093,0.1642758588536093,0.0
